類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
Group/Item,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent & fresh food","All items, less fresh food and energy","All items, less food (less alcoholic beverages) and energy",Food,Fresh food,"Food, less fresh food",Cereals,Fish & seafood,Fresh fish & seafood (reentry),Meats,Dairy products & eggs,Vegetables & seaweeds,Fresh vegetables (reentry),Fruits,Fresh fruits (reentry),"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture & recreation,Expenses for information & communication
類・品目符号(Group/Item code),1,161,163,166,178,168,2,157,172,3,8,158,13,16,21,159,27,160,30,33,34,37,41,42,45,164,46,165,51,54,56,57,58,59,60,61,66,70,73,77,81,82,83,84,85,89,90,94,98,103,106,107,108,109,110,111,112,113,117,118,119,120,121,122,123,128,134,138,145,146,147,151,155,156,167,162,173,169
含類総連番(Serial number),1,733,735,738,740,741,2,729,734,3,21,730,55,67,79,731,129,732,149,172,190,222,243,253,281,736,282,737,290,310,311,313,316,318,321,322,339,344,350,365,380,388,389,390,393,423,424,440,451,458,466,471,472,486,499,504,505,524,550,557,558,568,571,575,576,586,621,631,669,670,677,704,716,719,739,742,743,744
ウエイト(Weight),3190396706,3064100061,2686407772,2560111127,2836921138,2163299424,837777792,126296645,711481147,68149976,63474625,35700683,79333024,40174994,90779258,60100312,33431502,30495650,38497685,75224349,112214782,52027047,37859433,146611117,685773216,181784282,584936605,80947671,100836611,221145728,108710567,48173221,12158452,52103488,123411836,42179255,6577565,8613708,23738356,33518214,8784738,112584877,48397154,1341826,47055328,33461117,22528451,10932666,15357481,9128106,6241019,152330482,40726717,28947320,82656445,476190801,53231261,282263274,140696266,97001854,68010600,2197039,26794215,290669386,24536787,65733216,35138875,165260508,193510734,35161552,51225533,20181956,12596598,74345095,227178923,120648071,308848382,159473833
ウエイト１万分比(Weight per 10000),10000,9604,8420,8024,8892,6781,2626,396,2230,214,199,112,249,126,285,188,105,96,121,236,352,163,119,460,2149,570,1833,254,316,693,341,151,38,163,387,132,21,27,74,105,28,353,152,4,147,105,71,34,48,29,20,477,128,91,259,1493,167,885,441,304,213,7,84,911,77,206,110,518,607,110,161,63,39,233,712,378,968,500
1970,30.9,31.2,31.3,31.6,31,31.6,28.7,24.9,29.7,33.5,20.6,22.2,34.3,46,23.8,25.7,28.5,27.8,47,26.3,23.5,52.9,43.3,22.6,26.4,24,28.7,30.8,18.6,30.4,54.9,26.1,17.6,,72.4,210,71.7,58.5,28.4,66.1,18,27.6,25.7,22.5,27.2,30.3,29.3,30.2,26.6,37.6,23.6,37.5,48.6,51.2,26.9,39.6,19.5,46.3,87.1,15,14,25.9,,38.6,2014.8,36.2,18.3,24,28,14.9,67.4,23.5,20.2,11.7,35.5,,,
1971,32.9,33.3,33.1,33.6,33.1,33.8,30.5,25.7,31.7,34.4,23.7,26.4,35.6,48.6,24.3,24.6,27.2,26.5,50,28.6,25.8,54.5,45.6,25.1,28.7,25.9,31.2,33.4,20.2,31.4,54.8,26.8,20.2,,75.7,213.4,77.3,61.7,30.5,70,19.5,30.3,28.6,25.7,29.9,33.1,31.7,33,28.7,40.6,26.1,38.2,50.1,54.4,27.1,41.1,20.3,48.1,89.2,16.3,15,29.7,,41.2,1973.2,38,20.9,26.3,29.4,17,69.4,24.8,20.2,11.8,37.1,,,
1972,34.5,35.1,34.6,35.3,35,35.6,31.6,25.7,33.2,35.7,24.8,27.3,37.4,50.4,24.4,23.4,27.3,26.6,51.2,30.3,27.5,55,45.6,27.1,31.5,28.1,34.3,36.1,21.8,32,54.7,27.8,20.5,,76.9,212.3,80.1,63.1,31.8,71.1,21.3,32,30.5,28.6,31.3,34.4,32.8,34.6,30.6,42.3,28.3,41.8,51.8,59.1,30.2,42.7,21.3,48.8,93.4,17.5,16.3,30,,43.2,1962.2,40.6,22.1,27.8,30.5,19.3,69.6,25.5,20.2,12,37.6,,,
1973,38.6,39.1,38.7,39.3,39,39.5,35.7,29.6,37.4,38.8,28.2,30.7,44.9,56.1,30.8,30.5,27.7,27.1,57,32.9,32.9,56.8,47.8,30.9,35.1,31.9,37.6,39.2,26.2,33.6,54.5,30.8,22.5,,85,231,85.6,73.2,35.6,78.1,23.2,39.3,38.2,36.7,38.9,40.8,39.9,39.9,36.2,47.3,32.3,41.3,53.4,62.2,29.3,45.4,22.9,52.7,94.8,19.4,18.3,33.1,,47.4,2014.8,45.8,24.9,30.7,32.7,23,66.5,29,20.2,13.3,40.3,,,
1974,47.5,47.9,48.1,48.7,47.6,47.2,45.6,38.7,47.4,48,37.1,40.2,53.4,73.3,40.4,41.1,34.4,33.5,76.5,46.8,45.8,68.7,55.5,38.5,40,39.4,40.4,42,37.1,42.2,62.3,40.1,33.6,,116.1,322.7,109.6,91.5,50.3,111,27.9,48.3,46.1,43.7,47.3,51.8,48.9,52.5,48.2,57.7,41.1,44.7,56.6,86.8,31.1,53.8,26.2,69.8,96.1,22.9,21.4,39.5,,58.1,2374.4,59.1,33.9,35.2,38.6,31.7,74.1,36.2,20.2,14.8,53.7,,,
